Chat #,Sentence #,Word,Tag
1,0,Cliente,O
1,0,:,O
1,0,Hola,O
1,0,",",O
1,0,¿,O
1,0,qué,O
1,0,tal,O
1,0,?,O
1,0,Soy,O
1,0,María,B-nombre
1,0,Fernández,I-nombre
1,0,y,O
1,0,me,O
1,0,quiero,O
1,0,dar,B-intencion
1,0,de,I-intencion
1,0,baja,I-intencion
1,0,de,O
1,0,Celtel,O
1,0,.,O
1,1,Empleado,O
1,1,:,O
1,1,Bienvenida,O
1,1,a,O
1,1,Celtel,O
1,1,",",O
1,1,María,O
1,1,.,O
1,1,Lamentamos,O
1,1,que,O
1,1,quieras,O
1,1,darte,O
1,1,de,O
1,1,baja,O
1,1,de,O
1,1,nuestro,O
1,1,servicio,O
1,1,.,O
1,1,¿,O
1,1,Podrías,O
1,1,decirnos,O
1,1,el,O
1,1,motivo,O
1,1,de,O
1,1,tu,O
1,1,decisión,O
1,1,?,O
1,2,Cliente,O
1,2,:,O
1,2,Sí,O
1,2,",",O
1,2,por,O
1,2,supuesto,O
1,2,.,O
1,2,El,O
1,2,motivo,O
1,2,es,O
1,2,que,O
1,2,me,O
1,2,voy,O
1,2,a,O
1,2,vivir,O
1,2,a,O
1,2,otro,O
1,2,país,O
1,2,por,O
1,2,un,O
1,2,tiempo,O
1,2,y,O
1,2,no,O
1,2,voy,O
1,2,a,O
1,2,necesitar,O
1,2,el,O
1,2,servicio,O
1,2,de,O
1,2,Celtel,O
1,2,.,O
1,2,Estoy,O
1,2,muy,O
1,2,conforme,O
1,2,con,O
1,2,el,O
1,2,servicio,O
1,2,y,O
1,2,la,O
1,2,atención,O
1,2,",",O
1,2,pero,O
1,2,no,O
1,2,tiene,O
1,2,sentido,O
1,2,que,O
1,2,siga,O
1,2,pagando,O
1,2,por,O
1,2,algo,O
1,2,que,O
1,2,no,O
1,2,voy,O
1,2,a,O
1,2,usar,O
1,2,.,O
1,3,Empleado,O
1,3,:,O
1,3,Entendemos,O
1,3,tu,O
1,3,situación,O
1,3,",",O
1,3,María,O
1,3,.,O
1,3,Queremos,O
1,3,desearte,O
1,3,lo,O
1,3,mejor,O
1,3,en,O
1,3,tu,O
1,3,nueva,O
1,3,etapa,O
1,3,y,O
1,3,ofrecerte,O
1,3,una,O
1,3,solución,O
1,3,.,O
1,3,¿,O
1,3,Te,O
1,3,gustaría,O
1,3,suspender,O
1,3,tu,O
1,3,servicio,O
1,3,temporalmente,O
1,3,hasta,O
1,3,que,O
1,3,vuelvas,O
1,3,al,O
1,3,país,O
1,3,?,O
1,3,Así,O
1,3,podrías,O
1,3,conservar,O
1,3,tu,O
1,3,número,O
